,u,v
0,127,385
1,127,386
2,127,387
3,127,388
4,127,389
5,127,390
6,127,391
7,127,392
8,127,393
9,127,394
10,127,395
11,127,396
12,127,397
13,128,385
14,128,386
15,128,387
16,128,388
17,128,389
18,128,390
19,128,391
20,128,392
21,128,393
22,128,394
23,128,395
24,128,396
25,128,397
26,129,385
27,129,386
28,129,387
29,129,388
30,129,389
31,129,390
32,129,391
33,129,392
34,129,393
35,129,394
36,129,395
37,129,396
38,129,397
39,129,398
40,130,385
41,130,386
42,130,387
43,130,388
44,130,389
45,130,390
46,130,391
47,130,392
48,130,393
49,130,394
50,130,395
51,130,396
52,130,397
53,130,398
54,131,384
55,131,385
56,131,386
57,131,387
58,131,388
59,131,389
60,131,390
61,131,391
62,131,392
63,131,393
64,131,394
65,131,395
66,131,396
67,131,397
68,131,398
69,132,384
70,132,385
71,132,386
72,132,387
73,132,388
74,132,389
75,132,390
76,132,391
77,132,392
78,132,393
79,132,394
80,132,395
81,132,396
82,132,397
83,132,398
84,133,383
85,133,384
86,133,385
87,133,386
88,133,387
89,133,388
90,133,389
91,133,390
92,133,391
93,133,392
94,133,393
95,133,394
96,133,395
97,133,396
98,133,397
99,133,398
100,134,384
101,134,385
102,134,386
103,134,387
104,134,388
105,134,389
106,134,390
107,134,391
108,134,392
109,134,393
110,134,394
111,134,395
112,134,396
113,134,397
114,134,398
115,135,383
116,135,384
117,135,385
118,135,386
119,135,387
120,135,388
121,135,389
122,135,390
123,135,391
124,135,392
125,135,393
126,135,394
127,135,395
128,135,396
129,135,397
130,136,383
131,136,384
132,136,385
133,136,386
134,136,387
135,136,388
136,136,389
137,136,390
138,136,391
139,136,392
140,136,393
141,136,394
142,136,395
143,136,396
144,136,397
145,136,398
146,136,400
147,137,383
148,137,384
149,137,385
150,137,386
151,137,387
152,137,388
153,137,389
154,137,390
155,137,391
156,137,392
157,137,393
158,137,394
159,137,395
160,137,396
161,137,397
162,137,398
163,137,399
164,137,400
165,138,383
166,138,384
167,138,385
168,138,386
169,138,387
170,138,388
171,138,389
172,138,390
173,138,391
174,138,392
175,138,393
176,138,394
177,138,395
178,138,396
179,138,397
180,138,398
181,138,399
182,138,400
183,138,401
184,139,382
185,139,383
186,139,384
187,139,385
188,139,386
189,139,387
190,139,388
191,139,389
192,139,390
193,139,391
194,139,392
195,139,393
196,139,394
197,139,395
198,139,396
199,139,397
200,139,398
201,139,399
202,139,400
203,139,401
204,140,382
205,140,383
206,140,384
207,140,385
208,140,386
209,140,387
210,140,388
211,140,389
212,140,390
213,140,391
214,140,392
215,140,393
216,140,394
217,140,395
218,140,396
219,140,397
220,140,398
221,140,399
222,140,400
223,140,401
224,141,381
225,141,382
226,141,383
227,141,384
228,141,385
229,141,386
230,141,387
231,141,388
232,141,389
