,one,two,three
0,0,1,13
1,0,13,12
2,1,2,14
3,1,14,13
4,2,3,15
5,2,15,14
6,3,4,16
7,3,16,15
8,4,5,17
9,4,17,16
10,5,6,18
11,5,18,17
12,6,7,19
13,6,19,18
14,7,8,20
15,7,20,19
16,8,21,20
17,9,10,25
18,10,26,25
19,11,12,27
20,12,13,28
21,12,28,27
22,13,14,29
23,13,29,28
24,14,15,30
25,14,30,29
26,15,16,31
27,15,31,30
28,16,17,32
29,16,32,31
30,17,18,33
31,17,33,32
32,18,19,34
33,18,34,33
34,19,20,35
35,19,35,34
36,20,21,36
37,20,36,35
38,21,22,37
39,21,37,36
40,22,23,38
41,22,38,37
42,23,24,39
43,23,39,38
44,24,40,39
45,25,26,41
46,26,42,41
47,27,28,43
48,28,29,44
49,28,44,43
50,29,30,45
51,29,45,44
52,30,31,46
53,30,46,45
54,31,32,47
55,31,47,46
56,32,33,48
57,32,48,47
58,33,34,49
59,33,49,48
60,34,35,50
61,34,50,49
62,35,36,51
63,35,51,50
64,36,37,52
65,36,52,51
66,37,38,53
67,37,53,52
68,38,39,54
69,38,54,53
70,39,40,55
71,39,55,54
72,40,56,55
73,41,42,57
74,42,58,57
75,43,44,59
76,44,45,60
77,44,60,59
78,45,46,61
79,45,61,60
80,46,47,62
81,46,62,61
82,47,48,63
83,47,63,62
84,48,49,64
85,48,64,63
86,49,50,65
87,49,65,64
88,50,51,66
89,50,66,65
90,51,52,67
91,51,67,66
92,52,53,68
93,52,68,67
94,53,54,69
95,53,69,68
96,54,55,70
97,54,70,69
98,55,56,71
99,55,71,70
100,56,72,71
101,57,58,74
102,58,75,74
103,59,60,77
104,59,77,76
105,60,61,78
106,60,78,77
107,61,62,79
108,61,79,78
109,62,63,80
110,62,80,79
111,63,64,81
112,63,81,80
113,64,65,82
114,64,82,81
115,65,66,83
116,65,83,82
117,66,67,84
118,66,84,83
119,67,68,85
120,67,85,84
121,68,69,86
122,68,86,85
123,69,70,87
124,69,87,86
125,70,71,88
126,70,88,87
127,71,72,89
128,71,89,88
129,72,73,90
130,72,90,89
131,73,91,90
132,76,77,92
133,77,78,93
134,77,93,92
135,78,79,94
136,78,94,93
137,79,80,95
138,79,95,94
139,80,81,96
140,80,96,95
141,81,82,97
142,81,97,96
143,82,83,98
144,82,98,97
145,83,84,99
146,83,99,98
147,84,85,100
148,84,100,99
149,85,86,101
150,85,101,100
151,86,87,102
152,86,102,101
153,87,88,103
154,87,103,102
155,88,89,104
156,88,104,103
157,89,90,105
158,89,105,104
159,90,91,106
160,90,106,105
161,91,107,106
162,92,93,109
163,92,109,108
164,93,94,110
165,93,110,109
166,94,95,111
167,94,111,110
168,95,96,112
169,95,112,111
170,96,97,113
171,96,113,112
172,97,98,114
173,97,114,113
174,98,99,115
175,98,115,114
176,99,100,116
177,99,116,115
178,100,101,117
179,100,117,116
180,101,102,118
181,101,118,117
182,102,103,119
183,102,119,118
184,103,104,120
185,103,120,119
186,104,105,121
187,104,121,120
188,105,106,122
189,105,122,121
190,106,107,123
191,106,123,122
192,107,124,123
193,109,110,127
194,110,111,128
195,110,128,127
196,111,112,129
197,111,129,128
198,112,113,130
199,112,130,129
200,113,114,131
201,113,131,130
202,114,115,132
203,114,132,131
204,115,116,133
205,115,133,132
206,116,117,134
207,116,134,133
208,117,118,135
209,117,135,134
210,118,119,136
211,118,136,135
212,119,120,137
213,119,137,136
214,120,121,138
215,120,138,137
216,121,122,139
217,121,139,138
218,122,123,140
219,122,140,139
220,123,124,141
221,123,141,140
222,124,125,142
223,124,142,141
224,125,126,143
225,125,143,142
226,126,144,143
227,127,128,146
228,127,146,145
229,128,129,147
230,128,147,146
231,129,130,148
232,129,148,147
233,130,131,149
234,130,149,148
235,131,132,150
236,131,150,149
237,132,133,151
238,132,151,150
239,133,134,152
240,133,152,151
241,134,135,153
242,134,153,152
243,135,136,154
244,135,154,153
245,136,137,155
246,136,155,154
247,137,138,156
248,137,156,155
249,138,139,157
250,138,157,156
251,139,140,158
252,139,158,157
253,140,141,159
254,140,159,158
255,141,142,160
256,141,160,159
257,142,143,161
258,142,161,160
259,143,144,162
260,143,162,161
261,144,163,162
262,145,146,171
263,145,171,170
264,146,147,172
265,146,172,171
266,147,148,173
267,147,173,172
268,148,149,174
269,148,174,173
270,149,150,175
271,149,175,174
272,150,151,176
273,150,176,175
274,151,152,177
275,151,177,176
276,152,153,178
277,152,178,177
278,153,154,179
279,153,179,178
280,154,155,180
281,154,180,179
282,155,156,181
283,155,181,180
284,156,157,182
285,156,182,181
286,157,158,183
287,157,183,182
288,158,159,184
289,158,184,183
290,159,160,185
291,159,185,184
292,160,161,186
293,160,186,185
294,161,162,187
295,161,187,186
296,162,163,188
297,162,188,187
298,163,189,188
299,164,165,190
300,165,166,191
301,165,191,190
302,166,167,192
303,166,192,191
304,167,168,193
305,167,193,192
306,168,169,194
307,168,194,193
308,169,170,195
309,169,195,194
310,170,171,196
311,170,196,195
312,171,172,197
313,171,197,196
314,172,173,198
315,172,198,197
316,173,174,199
317,173,199,198
318,174,175,200
319,174,200,199
320,175,176,201
321,175,201,200
322,176,177,202
323,176,202,201
324,177,178,203
325,177,203,202
326,178,179,204
327,178,204,203
328,179,180,205
329,179,205,204
330,180,181,206
331,180,206,205
332,181,182,207
333,181,207,206
334,182,183,208
335,182,208,207
336,183,184,209
337,183,209,208
338,184,185,210
339,184,210,209
340,185,186,211
341,185,211,210
342,186,187,212
343,186,212,211
344,187,188,213
