,u,v
0,138,385
1,138,386
2,138,387
3,138,388
4,138,389
5,139,384
6,139,385
7,139,386
8,139,387
9,139,388
10,139,389
11,139,390
12,139,418
13,139,419
14,140,383
15,140,384
16,140,385
17,140,386
18,140,387
19,140,388
20,140,389
21,140,390
22,140,418
23,140,419
24,141,383
25,141,384
26,141,385
27,141,386
28,141,387
29,141,388
30,141,389
31,141,390
32,141,391
33,141,392
34,141,417
35,141,418
36,141,419
37,142,382
38,142,383
39,142,384
40,142,385
41,142,386
42,142,387
43,142,388
44,142,389
45,142,390
46,142,391
47,142,392
48,142,393
49,142,415
50,142,416
51,142,417
52,142,418
53,142,419
54,143,381
55,143,382
56,143,383
57,143,384
58,143,385
59,143,386
60,143,387
61,143,388
62,143,389
63,143,390
64,143,391
65,143,392
66,143,393
67,143,394
68,143,415
69,143,416
70,143,417
71,143,418
72,143,419
73,144,379
74,144,380
75,144,381
76,144,382
77,144,383
78,144,384
79,144,385
80,144,386
81,144,387
82,144,388
83,144,389
84,144,390
85,144,391
86,144,392
87,144,393
88,144,394
89,144,414
90,144,415
91,144,416
92,144,417
93,144,418
94,144,419
95,145,378
96,145,379
97,145,380
98,145,381
99,145,382
100,145,383
101,145,384
102,145,385
103,145,386
104,145,387
105,145,388
106,145,389
107,145,390
108,145,391
109,145,392
110,145,393
111,145,394
112,145,412
113,145,413
114,145,414
115,145,415
116,145,416
117,145,417
118,145,418
119,145,419
120,145,420
121,146,378
122,146,379
123,146,380
124,146,381
125,146,382
126,146,383
127,146,384
128,146,385
129,146,386
130,146,387
131,146,388
132,146,389
133,146,390
134,146,391
135,146,392
136,146,393
137,146,394
138,146,395
139,146,412
140,146,413
141,146,414
142,146,415
143,146,416
144,146,417
145,146,418
146,146,419
147,146,420
148,147,378
149,147,379
150,147,380
151,147,381
152,147,382
153,147,383
154,147,384
155,147,385
156,147,386
157,147,387
158,147,388
159,147,389
160,147,390
161,147,391
162,147,392
163,147,393
164,147,394
165,147,395
166,147,412
167,147,413
168,147,414
169,147,415
170,147,416
171,147,417
172,147,418
173,147,419
174,147,420
175,148,378
176,148,379
177,148,380
178,148,381
179,148,382
180,148,383
181,148,384
182,148,385
183,148,386
184,148,387
185,148,388
186,148,389
187,148,390
188,148,391
189,148,392
190,148,393
191,148,394
192,148,395
193,148,412
194,148,413
195,148,414
196,148,415
197,148,416
198,148,417
199,148,418
200,148,419
201,148,420
202,149,378
203,149,379
204,149,380
205,149,381
206,149,382
207,149,383
208,149,384
209,149,385
210,149,386
211,149,387
212,149,388
213,149,389
214,149,390
215,149,391
216,149,392
217,149,393
218,149,394
219,149,395
220,149,396
221,149,412
222,149,413
223,149,414
224,149,415
225,149,416
226,149,417
227,149,418
