,one,two,three
0,0,1,19
1,0,19,18
2,1,2,20
3,1,20,19
4,2,3,21
5,2,21,20
6,3,4,22
7,3,22,21
8,4,5,23
9,4,23,22
10,5,6,24
11,5,24,23
12,6,7,25
13,6,25,24
14,7,26,25
15,8,9,27
16,9,10,28
17,9,28,27
18,10,11,29
19,10,29,28
20,11,12,30
21,11,30,29
22,12,13,31
23,12,31,30
24,13,14,32
25,13,32,31
26,14,15,33
27,14,33,32
28,15,16,34
29,15,34,33
30,16,35,34
31,17,18,36
32,18,19,37
33,18,37,36
34,19,20,38
35,19,38,37
36,20,21,39
37,20,39,38
38,21,22,40
39,21,40,39
40,22,23,41
41,22,41,40
42,23,24,42
43,23,42,41
44,24,25,43
45,24,43,42
46,25,26,44
47,25,44,43
48,26,45,44
49,27,28,47
50,28,29,48
51,28,48,47
52,29,30,49
53,29,49,48
54,30,31,50
55,30,50,49
56,31,32,51
57,31,51,50
58,32,33,52
59,32,52,51
60,33,34,53
61,33,53,52
62,34,35,54
63,34,54,53
64,35,55,54
65,36,37,56
66,37,38,57
67,37,57,56
68,38,39,58
69,38,58,57
70,39,40,59
71,39,59,58
72,40,41,60
73,40,60,59
74,41,42,61
75,41,61,60
76,42,43,62
77,42,62,61
78,43,44,63
79,43,63,62
80,44,45,64
81,44,64,63
82,45,46,65
83,45,65,64
84,46,66,65
85,47,48,67
86,48,49,68
87,48,68,67
88,49,50,69
89,49,69,68
90,50,51,70
91,50,70,69
92,51,52,71
93,51,71,70
94,52,53,72
95,52,72,71
96,53,54,73
97,53,73,72
98,54,55,74
99,54,74,73
100,55,75,74
101,56,57,77
102,56,77,76
103,57,58,78
104,57,78,77
105,58,59,79
106,58,79,78
107,59,60,80
108,59,80,79
109,60,61,81
110,60,81,80
111,61,62,82
112,61,82,81
113,62,63,83
114,62,83,82
115,63,64,84
116,63,84,83
117,64,65,85
118,64,85,84
119,65,66,86
120,65,86,85
121,66,87,86
122,67,68,88
123,68,69,89
124,68,89,88
125,69,70,90
126,69,90,89
127,70,71,91
128,70,91,90
129,71,72,92
130,71,92,91
131,72,73,93
132,72,93,92
133,73,74,94
134,73,94,93
135,74,75,95
136,74,95,94
137,75,96,95
138,76,77,98
139,76,98,97
140,77,78,99
141,77,99,98
142,78,79,100
143,78,100,99
144,79,80,101
145,79,101,100
146,80,81,102
147,80,102,101
148,81,82,103
149,81,103,102
150,82,83,104
151,82,104,103
152,83,84,105
153,83,105,104
154,84,85,106
155,84,106,105
156,85,86,107
157,85,107,106
158,86,87,108
159,86,108,107
160,88,89,109
161,89,90,110
162,89,110,109
163,90,91,111
164,90,111,110
165,91,92,112
166,91,112,111
167,92,93,113
168,92,113,112
169,93,94,114
170,93,114,113
171,94,95,115
172,94,115,114
173,95,96,116
174,95,116,115
175,96,117,116
176,97,98,118
177,98,99,119
178,98,119,118
179,99,100,120
180,99,120,119
181,100,101,121
182,100,121,120
183,101,102,122
184,101,122,121
185,102,103,123
186,102,123,122
187,103,104,124
188,103,124,123
189,104,105,125
190,104,125,124
191,105,106,126
192,105,126,125
193,106,107,127
194,106,127,126
195,107,108,128
196,107,128,127
197,108,129,128
198,109,110,130
199,110,111,131
200,110,131,130
201,111,112,132
202,111,132,131
203,112,113,133
204,112,133,132
205,113,114,134
206,113,134,133
207,114,115,135
208,114,135,134
209,115,116,136
210,115,136,135
211,116,117,137
212,116,137,136
213,117,138,137
214,118,119,140
215,119,120,141
216,119,141,140
217,120,121,142
218,120,142,141
219,121,122,143
220,121,143,142
221,122,123,144
222,122,144,143
223,123,124,145
224,123,145,144
225,124,125,146
226,124,146,145
227,125,126,147
228,125,147,146
229,126,127,148
230,126,148,147
231,127,128,149
232,127,149,148
233,128,129,150
234,128,150,149
235,129,151,150
236,130,131,152
237,131,132,153
238,131,153,152
239,132,133,154
240,132,154,153
241,133,134,155
242,133,155,154
243,134,135,156
244,134,156,155
245,135,136,157
246,135,157,156
247,136,137,158
248,136,158,157
249,137,138,159
250,137,159,158
251,138,139,160
252,138,160,159
253,139,161,160
254,140,141,162
255,141,142,163
256,141,163,162
257,142,143,164
258,142,164,163
259,143,144,165
260,143,165,164
261,144,145,166
262,144,166,165
263,145,146,167
264,145,167,166
265,146,147,168
266,146,168,167
267,147,148,169
268,147,169,168
269,148,149,170
270,148,170,169
271,149,150,171
272,149,171,170
273,150,151,172
274,150,172,171
275,151,173,172
276,152,153,176
277,152,176,175
278,153,154,177
279,153,177,176
280,154,155,178
281,154,178,177
282,155,156,179
283,155,179,178
284,156,157,180
285,156,180,179
286,157,158,181
287,157,181,180
288,158,159,182
289,158,182,181
290,159,160,183
291,159,183,182
292,160,161,184
293,160,184,183
294,161,185,184
295,162,163,187
296,162,187,186
297,163,164,188
298,163,188,187
299,164,165,189
300,164,189,188
301,165,166,190
302,165,190,189
303,166,167,191
304,166,191,190
305,167,168,192
306,167,192,191
307,168,169,193
308,168,193,192
309,169,170,194
310,169,194,193
311,170,171,195
312,170,195,194
313,171,172,196
314,171,196,195
315,172,173,197
316,172,197,196
317,173,174,198
