,u,v
0,138,385
1,138,386
2,138,387
3,138,388
4,138,389
5,139,384
6,139,385
7,139,386
8,139,387
9,139,388
10,139,389
11,139,390
12,140,384
13,140,385
14,140,386
15,140,387
16,140,388
17,140,389
18,140,390
19,141,384
20,141,385
21,141,386
22,141,387
23,141,388
24,141,389
25,141,390
26,141,391
27,142,382
28,142,383
29,142,384
30,142,385
31,142,386
32,142,387
33,142,388
34,142,389
35,142,390
36,142,391
37,142,392
38,143,381
39,143,382
40,143,383
41,143,384
42,143,385
43,143,386
44,143,387
45,143,388
46,143,389
47,143,390
48,143,391
49,143,392
50,144,380
51,144,381
52,144,382
53,144,383
54,144,384
55,144,385
56,144,386
57,144,387
58,144,388
59,144,389
60,144,390
61,144,391
62,144,392
63,145,379
64,145,380
65,145,381
66,145,382
67,145,383
68,145,384
69,145,385
70,145,386
71,145,387
72,145,388
73,145,389
74,145,390
75,145,391
76,145,392
77,145,393
78,146,379
79,146,380
80,146,381
81,146,382
82,146,383
83,146,384
84,146,385
85,146,386
86,146,387
87,146,388
88,146,389
89,146,390
90,146,391
91,146,392
92,146,393
93,146,394
94,147,378
95,147,379
96,147,380
97,147,381
98,147,382
99,147,383
100,147,384
101,147,385
102,147,386
103,147,387
104,147,388
105,147,389
106,147,390
107,147,391
108,147,392
109,147,393
110,147,394
111,147,395
112,148,378
113,148,379
114,148,380
115,148,381
116,148,382
117,148,383
118,148,384
119,148,385
120,148,386
121,148,387
122,148,388
123,148,389
124,148,390
125,148,391
126,148,392
127,148,393
128,148,394
129,148,395
130,149,378
131,149,379
132,149,380
133,149,381
134,149,382
135,149,383
136,149,384
137,149,385
138,149,386
139,149,387
140,149,388
141,149,389
142,149,390
143,149,391
144,149,392
145,149,393
146,149,394
147,149,395
148,150,378
149,150,379
150,150,380
151,150,381
152,150,382
153,150,383
154,150,384
155,150,385
156,150,386
157,150,387
158,150,388
159,150,389
160,150,390
161,150,391
162,150,392
163,150,393
164,150,394
165,150,395
166,150,396
167,150,415
168,150,416
169,150,417
170,151,378
171,151,379
172,151,380
173,151,381
174,151,382
175,151,383
176,151,384
177,151,385
178,151,386
179,151,387
180,151,388
181,151,389
182,151,390
183,151,391
184,151,392
185,151,393
186,151,394
187,151,395
188,151,396
189,151,397
190,151,398
191,151,413
192,151,414
193,151,415
194,151,416
195,151,417
196,151,418
197,151,419
198,152,378
199,152,379
200,152,380
201,152,381
202,152,382
203,152,383
204,152,384
205,152,385
206,152,386
207,152,387
208,152,388
209,152,389
210,152,390
211,152,391
212,152,392
213,152,393
214,152,394
215,152,395
216,152,396
217,152,397
218,152,398
219,152,413
220,152,414
221,152,415
222,152,416
223,152,417
224,152,418
225,152,419
226,152,420
227,153,379
