,x,y,z
0,-0.001022222,-0.316410069,0.1835
1,-0.001094097,-0.278036806,0.1969375
2,-0.001161111,-0.229754861,0.209
3,-0.001195486,-0.169629514,0.21559375
4,-0.001259375,-0.107594444,0.22684375
5,-0.001244444,-0.036325347,0.2245
6,-0.001104167,0.030328472,0.20159375
7,-0.000933333,0.077887847,0.16815625
8,0.113231983,0.053408063,0.115298611
9,-0.130110494,0.101615972,0.131
10,-0.000905556,0.126438194,0.163
11,0.130547029,0.103111458,0.132927083
12,-0.132312346,0.144971682,0.133222222
13,-0.000877778,0.171934722,0.158
14,0.140976273,0.156209452,0.143548611
15,-0.125939892,0.177620448,0.126809028
16,-0.000855556,0.215706944,0.154
17,0.141000309,0.201101389,0.143572917
18,-0.000833333,0.256817708,0.14990625
19,0.137979321,0.240696836,0.140496528
