,one,two,three
0,0,1,18
1,1,2,19
2,1,19,18
3,2,3,20
4,2,20,19
5,3,4,21
6,3,21,20
7,4,5,22
8,4,22,21
9,5,6,23
10,5,23,22
11,6,7,24
12,6,24,23
13,7,8,25
14,7,25,24
15,8,26,25
16,9,10,30
17,9,30,29
18,10,11,31
19,10,31,30
20,11,12,32
21,11,32,31
22,12,13,33
23,12,33,32
24,13,14,34
25,13,34,33
26,14,15,35
27,14,35,34
28,15,16,36
29,15,36,35
30,16,17,37
31,16,37,36
32,17,38,37
33,18,19,41
34,19,20,42
35,19,42,41
36,20,21,43
37,20,43,42
38,21,22,44
39,21,44,43
40,22,23,45
41,22,45,44
42,23,24,46
43,23,46,45
44,24,25,47
45,24,47,46
46,25,26,48
47,25,48,47
48,26,27,49
49,26,49,48
50,27,28,50
51,27,50,49
52,28,29,51
53,28,51,50
54,29,30,52
55,29,52,51
56,30,31,53
57,30,53,52
58,31,32,54
59,31,54,53
60,32,33,55
61,32,55,54
62,33,34,56
63,33,56,55
64,34,35,57
65,34,57,56
66,35,36,58
67,35,58,57
68,36,37,59
69,36,59,58
70,37,38,60
71,37,60,59
72,38,39,61
73,38,61,60
74,39,40,62
75,39,62,61
76,40,63,62
77,41,42,64
78,42,43,65
79,42,65,64
80,43,44,66
81,43,66,65
82,44,45,67
83,44,67,66
84,45,46,68
85,45,68,67
86,46,47,69
87,46,69,68
88,47,48,70
89,47,70,69
90,48,49,71
91,48,71,70
92,49,50,72
93,49,72,71
94,50,51,73
95,50,73,72
96,51,52,74
97,51,74,73
98,52,53,75
99,52,75,74
100,53,54,76
101,53,76,75
102,54,55,77
103,54,77,76
104,55,56,78
105,55,78,77
106,56,57,79
107,56,79,78
108,57,58,80
109,57,80,79
110,58,59,81
111,58,81,80
112,59,60,82
113,59,82,81
114,60,61,83
115,60,83,82
116,61,62,84
117,61,84,83
118,62,63,85
119,62,85,84
120,63,86,85
121,64,65,91
122,65,66,92
123,65,92,91
124,66,67,93
125,66,93,92
126,67,68,94
127,67,94,93
128,68,69,95
129,68,95,94
130,69,70,96
131,69,96,95
132,70,71,97
133,70,97,96
134,71,72,98
135,71,98,97
136,72,73,99
137,72,99,98
138,73,74,100
139,73,100,99
140,74,75,101
141,74,101,100
142,75,76,102
143,75,102,101
144,76,77,103
145,76,103,102
146,77,78,104
147,77,104,103
148,78,79,105
149,78,105,104
150,79,80,106
151,79,106,105
152,80,81,107
153,80,107,106
154,81,82,108
155,81,108,107
156,82,83,109
157,82,109,108
158,83,84,110
159,83,110,109
160,84,85,111
