,u,v
0,131,360
1,131,361
2,131,362
3,131,363
4,131,364
5,131,365
6,131,366
7,131,367
8,131,368
9,131,372
10,131,373
11,131,374
12,131,375
13,131,376
14,131,377
15,131,378
16,131,379
17,131,380
18,132,360
19,132,361
20,132,362
21,132,363
22,132,364
23,132,365
24,132,366
25,132,367
26,132,368
27,132,369
28,132,370
29,132,371
30,132,372
31,132,373
32,132,374
33,132,375
34,132,376
35,132,377
36,132,378
37,132,379
38,132,380
39,132,381
40,132,382
41,133,360
42,133,361
43,133,362
44,133,363
45,133,364
46,133,365
47,133,366
48,133,367
49,133,368
50,133,369
51,133,370
52,133,371
53,133,372
54,133,373
55,133,374
56,133,375
57,133,376
58,133,377
59,133,378
60,133,379
61,133,380
62,133,381
63,133,382
64,134,360
65,134,361
66,134,362
67,134,363
68,134,364
69,134,365
70,134,366
71,134,367
72,134,368
73,134,369
74,134,370
75,134,371
76,134,372
77,134,373
78,134,374
79,134,375
80,134,376
81,134,377
82,134,378
83,134,379
84,134,380
85,134,381
86,134,382
87,134,383
88,134,384
89,134,385
90,134,386
91,135,360
92,135,361
93,135,362
94,135,363
95,135,364
96,135,365
97,135,366
98,135,367
99,135,368
100,135,369
101,135,370
102,135,371
103,135,372
104,135,373
105,135,374
106,135,375
107,135,376
108,135,377
109,135,378
110,135,379
111,135,380
112,135,381
113,135,382
114,135,383
115,135,384
116,135,385
117,135,386
118,135,387
119,136,360
120,136,361
121,136,362
122,136,363
123,136,364
124,136,365
125,136,366
126,136,367
127,136,368
128,136,369
129,136,370
130,136,371
131,136,372
132,136,373
133,136,374
134,136,375
135,136,376
136,136,377
137,136,378
138,136,379
139,136,380
140,136,381
141,136,382
142,136,383
143,136,384
144,136,385
145,136,386
146,136,387
147,137,360
148,137,361
149,137,362
150,137,363
151,137,364
152,137,365
153,137,366
154,137,367
155,137,368
156,137,369
157,137,370
158,137,371
159,137,372
160,137,373
161,137,374
162,137,375
163,137,376
164,137,377
165,137,378
166,137,379
167,137,380
168,137,381
169,137,382
170,137,383
171,137,384
172,137,385
173,137,386
174,137,387
175,138,359
176,138,360
177,138,361
178,138,362
179,138,363
180,138,364
181,138,365
182,138,366
183,138,367
184,138,368
185,138,369
186,138,370
187,138,371
188,138,372
189,138,373
190,138,374
191,138,375
192,138,376
193,138,377
194,138,378
195,138,379
196,138,380
197,138,381
198,138,382
199,138,383
200,138,384
201,138,385
202,138,386
203,138,387
204,138,388
205,138,389
206,138,390
207,138,391
208,138,392
209,138,393
210,139,359
211,139,360
212,139,361
213,139,362
214,139,363
215,139,364
216,139,365
217,139,366
218,139,367
219,139,368
220,139,369
221,139,370
222,139,371
223,139,372
224,139,373
225,139,374
226,139,375
227,139,376
228,139,377
229,139,378
230,139,379
231,139,380
232,139,381
233,139,382
234,139,383
235,139,384
236,139,385
237,139,386
238,139,387
239,139,388
240,139,389
241,139,390
242,139,391
243,139,392
244,139,393
245,140,359
246,140,360
247,140,361
248,140,362
249,140,363
250,140,364
251,140,365
252,140,366
253,140,367
254,140,368
255,140,369
256,140,370
257,140,371
258,140,372
259,140,373
260,140,374
261,140,375
262,140,376
263,140,377
264,140,378
265,140,379
266,140,380
267,140,381
268,140,382
269,140,383
270,140,384
271,140,385
272,140,386
273,140,387
274,140,388
275,140,389
276,140,390
277,140,391
278,140,392
279,140,393
280,141,359
281,141,360
282,141,361
283,141,362
284,141,363
285,141,364
286,141,365
287,141,366
288,141,367
289,141,368
290,141,369
291,141,370
292,141,371
293,141,372
294,141,373
295,141,374
296,141,375
297,141,376
298,141,377
299,141,378
300,141,379
301,141,380
302,141,381
303,141,382
304,141,383
305,141,384
306,141,385
307,141,386
308,141,387
309,141,388
310,141,389
311,141,390
312,141,391
313,141,392
314,141,393
315,142,359
316,142,360
317,142,361
318,142,362
319,142,363
320,142,364
321,142,365
322,142,366
323,142,367
324,142,368
325,142,369
326,142,370
327,142,371
328,142,372
329,142,373
330,142,374
331,142,375
332,142,376
333,142,377
334,142,378
335,142,379
336,142,380
337,142,381
338,142,382
339,142,383
340,142,384
341,142,385
342,142,386
343,142,387
344,142,388
345,142,389
346,142,390
347,142,391
348,142,392
349,142,393
350,142,394
351,142,395
352,142,399
353,143,359
354,143,360
355,143,361
356,143,362
357,143,363
358,143,364
359,143,365
360,143,366
361,143,367
362,143,368
363,143,369
364,143,370
365,143,371
366,143,372
367,143,373
368,143,374
369,143,375
370,143,376
371,143,377
372,143,378
373,143,379
374,143,380
375,143,381
376,143,382
377,143,383
378,143,384
379,143,385
380,143,386
381,143,387
382,143,388
383,143,389
384,143,390
385,143,391
386,143,392
387,143,393
388,143,394
389,143,395
390,143,396
391,143,397
392,143,398
393,143,399
394,143,400
395,143,401
396,143,402
397,143,403
398,143,404
399,143,405
400,144,359
401,144,360
402,144,361
403,144,362
404,144,363
405,144,364
406,144,365
407,144,366
408,144,367
409,144,368
410,144,369
411,144,370
412,144,371
413,144,372
414,144,373
415,144,374
416,144,375
417,144,376
418,144,377
419,144,378
420,144,379
421,144,380
422,144,381
423,144,382
424,144,383
425,144,384
426,144,385
427,144,386
428,144,387
429,144,388
430,144,389
431,144,390
432,144,391
433,144,392
434,144,393
435,144,394
436,144,395
437,144,396
438,144,397
439,144,398
440,144,399
441,144,400
442,144,401
443,144,402
444,144,403
445,144,404
446,144,405
447,144,406
448,145,360
449,145,361
450,145,362
451,145,363
452,145,364
453,145,365
454,145,366
455,145,367
456,145,368
457,145,372
458,145,373
459,145,374
460,145,375
461,145,376
462,145,377
463,145,378
464,145,379
465,145,380
466,145,381
467,145,382
468,145,383
469,145,384
470,145,385
471,145,386
472,145,387
473,145,388
474,145,389
475,145,390
476,145,391
477,145,392
478,145,393
479,145,394
480,145,395
481,145,396
482,145,397
483,145,398
484,145,399
485,145,400
486,145,401
487,145,402
488,145,403
489,145,404
490,145,405
491,146,363
492,146,380
493,146,381
494,146,382
495,146,383
496,146,384
497,146,385
498,146,386
499,146,387
500,146,388
501,146,389
502,146,401
503,146,402
504,146,403
505,146,404
506,146,405
507,147,363
508,147,380
509,147,381
510,147,382
511,147,383
512,147,384
513,147,385
514,147,386
515,147,387
516,147,388
517,147,401
518,147,402
519,147,403
520,147,404
521,147,405
522,148,363
523,148,380
524,148,381
525,148,382
526,148,383
527,148,384
528,148,385
529,148,386
530,148,387
531,148,388
532,148,400
533,148,401
534,148,402
535,148,403
536,148,404
537,148,405
538,149,362
539,149,363
540,149,364
541,149,365
542,149,366
543,149,380
544,149,381
545,149,382
546,149,383
547,149,384
548,149,385
549,149,386
550,149,387
551,149,388
552,149,389
553,149,390
554,149,393
555,149,394
556,149,395
557,149,396
558,149,397
559,149,398
560,149,399
561,149,400
562,149,401
563,149,402
564,149,403
565,149,404
566,149,405
567,149,406
568,150,360
569,150,361
570,150,362
