,u,v
0,128,357
1,128,358
2,128,359
3,128,360
4,129,354
5,129,355
6,129,356
7,129,357
8,129,358
9,129,359
10,129,360
11,129,361
12,129,362
13,129,363
14,129,364
15,129,365
16,129,366
17,129,367
18,129,368
19,129,406
20,129,407
21,129,408
22,129,409
23,129,410
24,129,411
25,129,412
26,129,413
27,129,414
28,129,420
29,129,421
30,129,422
31,129,423
32,129,424
33,129,425
34,129,426
35,129,427
36,129,428
37,129,429
38,129,430
39,129,431
40,129,432
41,129,433
42,129,434
43,129,435
44,129,436
45,129,437
46,129,438
47,129,439
48,129,440
49,129,441
50,129,442
51,129,443
52,129,444
53,130,354
54,130,355
55,130,356
56,130,357
57,130,358
58,130,359
59,130,360
60,130,361
61,130,362
62,130,363
63,130,364
64,130,365
65,130,366
66,130,367
67,130,368
68,130,406
69,130,407
70,130,408
71,130,409
72,130,410
73,130,411
74,130,412
75,130,413
76,130,414
77,130,420
78,130,421
79,130,422
80,130,423
81,130,424
82,130,425
83,130,426
84,130,427
85,130,428
86,130,429
87,130,430
88,130,431
89,130,432
90,130,433
91,130,434
92,130,435
93,130,436
94,130,437
95,130,438
96,130,439
97,130,440
98,130,441
99,130,442
100,130,443
101,130,444
102,131,354
103,131,355
104,131,356
105,131,357
106,131,358
107,131,359
108,131,360
109,131,361
110,131,362
111,131,363
112,131,364
113,131,365
114,131,366
115,131,367
116,131,368
117,131,406
118,131,407
119,131,408
120,131,409
121,131,410
122,131,411
123,131,412
124,131,413
125,131,414
126,131,420
127,131,421
128,131,422
129,131,423
130,131,424
131,131,425
132,131,426
133,131,427
134,131,428
135,131,429
136,131,430
137,131,431
138,131,432
139,131,433
140,131,434
141,131,435
142,131,436
143,131,437
144,131,438
145,131,439
146,131,440
147,131,441
148,131,442
149,131,443
150,131,444
151,132,354
152,132,355
153,132,356
154,132,357
155,132,358
156,132,359
157,132,360
158,132,361
159,132,362
160,132,363
161,132,364
162,132,365
163,132,366
164,132,367
165,132,368
166,132,406
167,132,407
168,132,408
169,132,409
170,132,410
171,132,411
172,132,412
173,132,413
174,132,414
175,132,420
176,132,421
177,132,422
178,132,423
179,132,424
180,132,425
181,132,426
182,132,427
183,132,428
184,132,429
185,132,430
186,132,431
187,132,432
188,132,433
189,132,434
190,132,435
191,132,436
192,132,437
193,132,438
194,132,439
195,132,440
196,132,441
197,132,442
198,132,443
199,132,444
200,133,354
201,133,355
202,133,356
203,133,357
204,133,358
205,133,359
206,133,360
207,133,361
208,133,362
209,133,363
210,133,364
211,133,365
212,133,366
213,133,367
214,133,368
215,133,406
216,133,407
217,133,408
218,133,409
219,133,410
220,133,411
221,133,412
222,133,413
223,133,414
224,133,420
225,133,421
226,133,422
227,133,423
228,133,424
229,133,425
230,133,426
231,133,427
232,133,428
233,133,429
234,133,430
235,133,431
236,133,432
237,133,433
238,133,434
239,133,435
240,133,436
241,133,437
242,133,438
243,133,439
244,133,440
245,133,441
246,133,442
247,133,443
248,133,444
249,134,354
250,134,355
251,134,356
252,134,357
253,134,358
254,134,359
255,134,360
256,134,361
257,134,362
258,134,363
259,134,364
260,134,365
261,134,366
262,134,367
263,134,368
264,134,369
265,134,370
266,134,371
267,134,372
268,134,373
269,134,374
270,134,375
271,134,406
272,134,407
273,134,408
274,134,409
275,134,410
276,134,411
277,134,412
278,134,413
279,134,414
280,134,420
281,134,421
282,134,422
283,134,423
284,134,424
285,134,425
286,134,426
287,134,427
288,134,428
289,134,429
290,134,430
291,134,431
292,134,432
293,134,433
294,134,434
295,134,435
296,134,436
297,134,437
298,134,438
299,134,439
300,134,440
301,134,441
302,134,442
303,134,443
304,134,444
305,135,353
306,135,354
307,135,355
308,135,356
309,135,357
310,135,358
311,135,359
312,135,360
313,135,361
314,135,362
315,135,363
316,135,364
317,135,365
318,135,366
319,135,367
320,135,368
321,135,369
322,135,370
323,135,371
324,135,372
325,135,373
326,135,374
327,135,375
328,135,376
329,135,377
330,135,378
331,135,390
332,135,391
333,135,392
334,135,393
335,135,394
336,135,395
337,135,396
338,135,397
339,135,398
340,135,399
341,135,400
342,135,401
343,135,402
344,135,403
345,135,404
346,135,405
347,135,406
348,135,407
349,135,408
350,135,409
351,135,410
352,135,411
353,135,412
354,135,413
355,135,414
356,135,415
357,135,419
358,135,420
359,135,421
360,135,422
361,135,423
362,135,424
363,135,425
364,135,426
365,135,427
366,135,428
367,135,429
368,135,430
369,135,431
370,135,432
371,135,433
372,135,434
373,135,435
374,135,436
375,135,437
376,135,438
377,135,439
378,135,440
379,135,441
380,135,442
381,135,443
382,135,444
383,136,353
384,136,354
385,136,355
386,136,356
387,136,357
388,136,358
389,136,359
390,136,360
391,136,361
392,136,362
393,136,363
394,136,364
395,136,365
396,136,366
397,136,367
398,136,368
399,136,369
400,136,370
401,136,371
402,136,372
403,136,373
404,136,374
405,136,375
406,136,376
407,136,377
408,136,378
409,136,390
410,136,391
411,136,392
412,136,393
413,136,394
414,136,395
415,136,396
416,136,397
417,136,398
418,136,399
419,136,400
420,136,401
421,136,402
422,136,403
423,136,404
424,136,405
425,136,406
426,136,407
427,136,420
428,136,423
429,136,424
430,136,425
431,136,426
432,136,427
433,136,428
434,136,429
435,136,430
436,136,431
437,136,432
438,136,433
439,136,434
440,136,435
441,136,436
442,137,353
443,137,354
444,137,355
445,137,356
446,137,357
447,137,358
448,137,359
449,137,360
450,137,361
451,137,362
452,137,363
453,137,364
454,137,365
455,137,366
456,137,367
457,137,368
458,137,369
459,137,370
460,137,371
461,137,372
462,137,373
463,137,374
464,137,375
465,137,376
466,137,377
467,137,378
468,137,390
469,137,391
470,137,392
471,137,393
472,137,394
473,137,395
474,137,396
475,137,397
476,137,398
477,137,399
478,137,400
479,137,401
480,137,402
481,137,403
482,137,404
483,137,405
484,137,406
485,137,407
486,137,420
487,137,423
488,137,424
489,137,425
490,137,426
491,137,427
492,137,428
493,137,429
494,137,430
495,137,431
496,137,432
497,137,433
498,137,434
499,137,435
500,137,436
501,138,353
502,138,354
503,138,355
504,138,356
505,138,357
506,138,358
507,138,359
508,138,360
509,138,361
510,138,362
511,138,363
512,138,364
513,138,365
514,138,366
515,138,367
516,138,368
517,138,369
518,138,370
519,138,371
520,138,372
521,138,373
522,138,374
523,138,375
524,138,376
525,138,377
526,138,378
527,138,390
528,138,391
529,138,392
530,138,393
531,138,394
532,138,395
533,138,396
534,138,397
535,138,398
536,138,399
537,138,400
538,138,401
539,138,402
540,138,403
541,138,404
542,138,405
543,138,406
544,138,407
545,138,420
546,138,423
547,138,424
548,138,425
549,138,426
550,138,427
551,138,428
552,138,429
553,138,430
554,138,431
555,138,432
556,138,433
557,138,434
558,138,435
559,138,436
560,139,353
561,139,354
562,139,355
563,139,356
564,139,357
565,139,358
566,139,359
567,139,360
568,139,361
569,139,362
570,139,363
571,139,364
572,139,365
573,139,366
574,139,367
575,139,368
576,139,369
577,139,370
578,139,371
579,139,372
580,139,373
581,139,374
582,139,375
583,139,376
584,139,377
585,139,378
586,139,390
587,139,391
588,139,392
589,139,393
590,139,394
591,139,395
592,139,396
593,139,397
594,139,398
595,139,399
596,139,400
597,139,401
598,139,402
599,139,403
600,139,404
601,139,405
602,139,406
603,139,407
604,139,420
605,139,423
606,139,424
607,139,425
608,139,426
609,139,427
610,139,428
611,139,429
612,139,430
613,139,431
614,139,432
615,139,433
616,139,434
617,139,435
618,139,436
619,140,353
620,140,354
621,140,355
622,140,356
623,140,357
624,140,358
625,140,359
626,140,360
627,140,361
628,140,362
629,140,363
630,140,364
631,140,365
632,140,366
633,140,367
634,140,368
635,140,369
636,140,370
637,140,371
638,140,372
639,140,373
640,140,374
641,140,375
642,140,376
643,140,377
644,140,378
645,140,379
646,140,390
647,140,391
648,140,392
649,140,393
650,140,394
651,140,395
652,140,396
653,140,397
654,140,398
655,140,399
656,140,400
657,140,401
658,140,402
659,140,403
660,140,404
661,140,405
662,140,406
663,140,407
664,140,420
665,140,423
666,140,424
667,140,425
668,140,426
669,140,427
670,140,428
671,140,429
672,140,430
673,140,431
674,140,432
675,140,433
676,140,434
677,140,435
678,140,436
679,141,353
680,141,354
681,141,355
682,141,356
683,141,357
684,141,358
685,141,359
686,141,360
687,141,361
688,141,362
689,141,363
690,141,364
691,141,365
692,141,366
693,141,367
694,141,368
695,141,369
696,141,370
697,141,371
698,141,372
699,141,373
700,141,374
701,141,375
702,141,376
703,141,377
704,141,378
705,141,379
706,141,380
707,141,381
708,141,382
709,141,383
710,141,384
711,141,385
712,141,389
713,141,390
714,141,391
715,141,392
716,141,393
717,141,394
718,141,395
719,141,396
720,141,397
721,141,398
722,141,399
723,141,400
724,141,401
725,141,402
726,141,403
727,141,404
728,141,405
729,141,406
730,141,407
731,141,408
732,141,420
733,141,423
734,141,424
735,141,425
736,141,426
737,141,427
738,141,428
739,141,429
740,141,430
741,141,431
742,141,432
743,141,433
744,141,434
745,141,435
746,141,436
747,142,354
748,142,355
749,142,356
750,142,357
751,142,358
752,142,359
753,142,360
754,142,361
755,142,362
756,142,363
757,142,364
758,142,365
759,142,366
760,142,367
761,142,368
762,142,369
763,142,370
764,142,371
765,142,372
766,142,373
767,142,374
768,142,375
769,142,376
770,142,377
771,142,378
772,142,379
773,142,380
774,142,381
775,142,382
776,142,383
777,142,384
778,142,385
779,142,389
780,142,390
781,142,391
782,142,392
783,142,393
784,142,394
785,142,395
786,142,396
787,142,398
788,142,399
789,142,400
790,142,401
791,142,402
792,142,403
793,142,404
794,142,405
795,142,406
796,143,355
797,143,356
798,143,357
799,143,358
800,143,359
801,143,360
802,143,361
803,143,362
804,143,363
805,143,364
806,143,365
807,143,366
808,143,367
809,143,368
810,143,369
811,143,370
812,143,371
813,143,372
814,143,373
815,143,374
816,143,375
817,143,376
818,143,377
819,143,378
820,143,379
821,143,380
822,143,381
823,143,382
824,143,383
825,143,384
826,143,385
827,143,386
828,143,387
829,143,389
830,143,390
831,143,391
832,143,392
833,143,393
834,143,394
835,143,395
836,143,396
837,143,398
838,143,399
839,143,400
840,143,401
841,143,402
842,143,403
843,143,404
844,143,405
845,143,406
