,u,v
0,128,407
1,128,408
2,128,409
3,128,410
4,128,421
5,128,422
6,128,427
7,128,428
8,129,407
9,129,408
10,129,409
11,129,410
12,129,411
13,129,412
14,129,420
15,129,421
16,129,422
17,129,423
18,129,424
19,129,425
20,129,426
21,129,427
22,129,428
23,130,406
24,130,407
25,130,408
26,130,409
27,130,410
28,130,411
29,130,412
30,130,413
31,130,420
32,130,421
33,130,422
34,130,423
35,130,424
36,130,425
37,130,426
38,130,427
39,130,428
40,130,429
41,130,430
42,130,431
43,131,404
44,131,405
45,131,406
46,131,407
47,131,408
48,131,409
49,131,410
50,131,411
51,131,412
52,131,413
53,131,419
54,131,420
55,131,421
56,131,422
57,131,423
58,131,424
59,131,425
60,131,426
61,131,427
62,131,428
63,131,429
64,131,430
65,131,431
66,131,432
67,131,433
68,131,434
69,132,400
70,132,401
71,132,402
72,132,403
73,132,404
74,132,405
75,132,406
76,132,407
77,132,408
78,132,409
79,132,410
80,132,411
81,132,412
82,132,413
83,132,418
84,132,419
85,132,420
86,132,421
87,132,422
88,132,423
89,132,424
90,132,425
91,132,426
92,132,427
93,132,428
94,132,429
95,132,430
96,132,431
97,132,432
98,132,433
99,132,434
100,133,394
101,133,395
102,133,396
103,133,399
104,133,400
105,133,401
106,133,402
107,133,403
108,133,404
109,133,405
110,133,406
111,133,407
112,133,408
113,133,409
114,133,410
115,133,411
116,133,412
117,133,413
118,133,414
119,133,417
120,133,418
121,133,419
122,133,420
123,133,421
124,133,422
125,133,423
126,133,424
127,133,425
128,133,426
129,133,427
130,133,428
131,133,429
132,133,430
133,133,431
134,133,432
135,133,433
136,133,434
137,133,435
138,134,394
139,134,395
140,134,396
141,134,399
142,134,400
143,134,401
144,134,402
145,134,403
146,134,404
147,134,405
148,134,406
149,134,407
150,134,408
151,134,409
152,134,410
153,134,411
154,134,412
155,134,413
156,134,414
157,134,417
158,134,418
159,134,419
160,134,420
161,134,421
162,134,422
163,134,423
164,134,424
165,134,425
166,134,426
167,134,427
168,134,428
169,134,429
170,134,430
171,134,431
172,134,432
173,134,433
174,134,434
175,134,435
176,135,394
177,135,395
178,135,396
179,135,397
180,135,399
181,135,400
182,135,401
183,135,402
184,135,403
185,135,404
186,135,405
187,135,406
188,135,407
189,135,408
190,135,409
191,135,410
192,135,411
193,135,412
194,135,413
195,135,414
196,135,417
197,135,418
198,135,419
199,135,420
200,135,421
201,135,422
202,135,423
203,135,424
204,135,425
205,135,426
206,135,427
207,135,428
208,135,429
209,135,430
210,135,431
211,135,432
212,135,433
213,135,434
214,135,435
215,135,436
216,135,437
217,136,394
218,136,395
219,136,396
220,136,397
221,136,398
222,136,399
223,136,400
224,136,401
225,136,402
226,136,403
227,136,404
228,136,405
229,136,406
230,136,407
231,136,408
232,136,409
233,136,410
234,136,411
235,136,412
236,136,413
237,136,414
238,136,417
239,136,418
240,136,419
241,136,420
242,136,421
243,136,422
244,136,423
245,136,424
246,136,425
247,136,426
248,136,427
249,136,428
250,136,429
251,136,430
252,136,431
253,136,432
254,136,433
255,136,434
256,136,435
257,136,436
258,136,437
259,137,394
260,137,395
261,137,396
262,137,397
263,137,398
264,137,399
265,137,400
266,137,401
267,137,402
268,137,403
269,137,404
270,137,405
271,137,406
272,137,407
273,137,408
274,137,409
275,137,410
276,137,411
277,137,412
278,137,413
279,137,414
280,137,417
281,137,418
282,137,419
283,137,420
284,137,421
285,137,422
286,137,423
287,137,424
288,137,425
289,137,426
290,137,427
291,137,428
292,137,429
293,137,430
294,137,431
295,137,432
296,137,433
297,137,434
298,137,435
299,137,436
300,137,437
301,137,438
302,138,400
303,138,401
304,138,402
305,138,403
306,138,404
307,138,405
308,138,406
309,138,407
310,138,408
311,138,409
312,138,410
313,138,411
314,138,412
315,138,413
316,138,414
317,138,416
318,138,417
319,138,418
320,138,419
321,138,420
322,138,421
323,138,422
324,138,423
325,138,424
326,138,425
327,138,426
328,138,427
329,138,428
330,138,429
331,138,430
332,138,431
333,138,432
334,138,433
335,138,434
336,138,435
337,138,436
338,138,437
339,138,438
340,138,439
341,139,394
342,139,395
343,139,396
344,139,400
345,139,401
346,139,402
347,139,403
348,139,404
349,139,405
350,139,406
351,139,407
352,139,408
353,139,409
354,139,410
355,139,411
356,139,412
357,139,413
358,139,414
359,139,416
360,139,417
361,139,418
362,139,419
363,139,420
364,139,421
365,139,422
366,139,423
367,139,424
368,139,425
369,139,426
370,139,427
371,139,428
372,139,429
373,139,430
374,139,431
375,139,432
376,139,433
377,139,434
378,139,435
379,139,436
380,139,437
381,139,438
382,139,439
383,139,440
384,140,394
385,140,395
