,one,two,three
0,0,1,9
1,1,2,10
2,1,10,9
3,2,3,11
4,2,11,10
5,3,4,12
6,3,12,11
7,4,5,13
8,4,13,12
9,5,6,14
10,5,14,13
11,6,7,15
12,6,15,14
13,7,8,16
14,7,16,15
15,8,17,16
16,9,10,19
17,10,11,20
18,10,20,19
19,11,12,21
20,11,21,20
21,12,13,22
22,12,22,21
23,13,14,23
24,13,23,22
25,14,15,24
26,14,24,23
27,15,16,25
28,15,25,24
29,16,17,26
30,16,26,25
31,17,18,27
32,17,27,26
33,18,28,27
34,19,20,29
35,20,21,30
36,20,30,29
37,21,22,31
38,21,31,30
39,22,23,32
40,22,32,31
41,23,24,33
42,23,33,32
43,24,25,34
44,24,34,33
45,25,26,35
46,25,35,34
47,26,27,36
48,26,36,35
49,27,28,37
50,27,37,36
51,28,38,37
52,29,30,40
53,30,31,41
54,30,41,40
55,31,32,42
56,31,42,41
57,32,33,43
58,32,43,42
59,33,34,44
60,33,44,43
61,34,35,45
62,34,45,44
63,35,36,46
64,35,46,45
65,36,37,47
66,36,47,46
67,37,38,48
68,37,48,47
69,38,39,49
70,38,49,48
71,39,50,49
72,40,41,51
73,41,42,52
74,41,52,51
75,42,43,53
76,42,53,52
77,43,44,54
78,43,54,53
79,44,45,55
80,44,55,54
81,45,46,56
82,45,56,55
83,46,47,57
84,46,57,56
85,47,48,58
86,47,58,57
87,48,49,59
88,48,59,58
89,49,50,60
90,49,60,59
91,50,61,60
92,51,52,63
93,52,53,64
94,52,64,63
95,53,54,65
96,53,65,64
97,54,55,66
98,54,66,65
99,55,56,67
100,55,67,66
101,56,57,68
102,56,68,67
103,57,58,69
104,57,69,68
105,58,59,70
106,58,70,69
107,59,60,71
108,59,71,70
109,60,61,72
110,60,72,71
111,61,62,73
112,61,73,72
113,62,74,73
114,64,65,77
115,65,66,78
116,65,78,77
117,66,67,79
118,66,79,78
119,67,68,80
120,67,80,79
121,68,69,81
122,68,81,80
123,69,70,82
124,69,82,81
125,70,71,83
126,70,83,82
127,71,72,84
128,71,84,83
129,72,73,85
130,72,85,84
131,73,74,86
132,73,86,85
133,74,75,87
134,74,87,86
135,75,76,88
136,75,88,87
137,76,89,88
138,77,78,93
139,78,79,94
140,78,94,93
141,79,80,95
142,79,95,94
143,80,81,96
144,80,96,95
145,81,82,97
146,81,97,96
147,82,83,98
148,82,98,97
149,83,84,99
150,83,99,98
151,84,85,100
152,84,100,99
153,85,86,101
154,85,101,100
155,86,87,102
156,86,102,101
157,87,88,103
158,87,103,102
159,88,89,104
160,88,104,103
161,89,90,105
162,89,105,104
163,90,91,106
164,90,106,105
165,91,92,107
166,91,107,106
167,92,108,107
168,94,95,109
169,95,96,110
170,95,110,109
171,96,97,111
172,96,111,110
173,97,98,112
174,97,112,111
175,98,99,113
176,98,113,112
177,99,100,114
178,99,114,113
179,100,101,115
180,100,115,114
181,101,102,116
182,101,116,115
183,102,103,117
184,102,117,116
185,103,104,118
186,103,118,117
187,104,105,119
188,104,119,118
189,105,106,120
190,105,120,119
191,106,107,121
192,106,121,120
193,107,108,122
194,107,122,121
195,108,123,122
196,109,110,124
197,110,111,125
198,110,125,124
199,111,112,126
200,111,126,125
201,112,113,127
202,112,127,126
203,113,114,128
204,113,128,127
205,114,115,129
206,114,129,128
207,115,116,130
208,115,130,129
209,116,117,131
210,116,131,130
211,117,118,132
212,117,132,131
213,118,119,133
214,118,133,132
215,119,120,134
216,119,134,133
217,120,121,135
218,120,135,134
219,121,122,136
220,121,136,135
221,122,123,137
222,122,137,136
223,123,138,137
224,124,125,142
225,124,142,141
226,125,126,143
227,125,143,142
228,126,127,144
229,126,144,143
230,127,128,145
231,127,145,144
232,128,129,146
233,128,146,145
234,129,130,147
235,129,147,146
236,130,131,148
237,130,148,147
238,131,132,149
239,131,149,148
240,132,133,150
241,132,150,149
242,133,134,151
243,133,151,150
244,134,135,152
245,134,152,151
246,135,136,153
247,135,153,152
248,136,137,154
249,136,154,153
250,137,138,155
251,137,155,154
252,138,139,156
253,138,156,155
254,139,157,156
255,140,141,159
